accuracy,amenities,bed_type,cancel_policy,instant_book,person_capacity,price,rating_checkin,rating_cleanliness,rating_communication,response_rate,response_time,rev_count,room_type,satisfaction_guest,url
10,"[1, 33, 2, 34, 3, 35, 4, 36, 5, 37, 39, 40, 41, 44, 45, 46, 15, 47, 21, 25, 27, 30, 31]",Real Bed,4,TRUE,2,59,10,10,10,1,1,24,Entire home/apt,96,https://www.airbnb.com/rooms/17127736?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[1, 3, 35, 4, 36, 5, 40, 41, 43, 44, 45, 46, 47, 50, 21, 25, 30, 31]",Real Bed,4,TRUE,2,50,9,9,10,1,2,61,Entire home/apt,93,https://www.airbnb.com/rooms/5733547?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[4, 5, 8, 77, 21, 85, 87, 88, 25, 89, 91, 93, 30, 94, 31, 34, 98, 35, 100, 39, 103, 40, 104, 41, 44, 45, 47, 61]",Real Bed,5,TRUE,5,85,10,9,10,1,336.5,30,Entire home/apt,94,https://www.airbnb.com/rooms/13194056?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[1, 33, 34, 3, 35, 4, 5, 8, 40, 41, 43, 44, 45, 49, 50, 21, 25, 30]",Real Bed,5,TRUE,3,70,10,9,10,0.981999993,844,13,Entire home/apt,85,https://www.airbnb.com/rooms/16946221?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[33, 34, 4, 5, 8, 40, 41, 43, 44, 45, 21, 25, 28, 30, 31]",Real Bed,5,FALSE,2,73,10,9,10,1,3134,39,Entire home/apt,86,https://www.airbnb.com/rooms/9780428?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 2, 4, 5, 6, 8, 21, 25, 28, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 44, 45, 46, 47, 61]",Real Bed,5,TRUE,4,299,10,10,10,1,1,112,Entire home/apt,99,https://www.airbnb.com/rooms/6330090?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
